appid,name,price,recommendations,metacritic,controller_support,developers,publishers,platforms_windows,platforms_mac,platforms_linux,release_date,minimum_req,recommended_req,categories,genres,header_image
2999020,Finger Fury Showdown,$7.99,N/A,N/A,N/A,Brave Giant,Peaksel,True,True,False,"Aug 26, 2024","{'OS *': 'Windows 7, 8, 10', 'Processor': '2.0 GHz Dual Core', 'Memory': '2 GB RAM', 'Graphics': 'Integrated graphics or GPU with at least 512 MB of VRAM', 'DirectX': 'Version 9.0', 'Storage': '555 MB available space'}","{'OS *': 'Windows 7, 8, 10', 'Processor': '2.5 GHz Dual Core', 'Memory': '2 GB RAM', 'Graphics': 'Integrated graphics or GPU with at least 512 MB of VRAM', 'DirectX': 'Version 9.0', 'Storage': '1024 MB available space'}","['Single-player', 'Family Sharing']",['Action'],https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2999020/header.jpg?t=1724661842
2159500,PhaigeX: Hyperspace Survivors,$4.99,N/A,N/A,N/A,Traitorean Games,Traitorean Games,True,False,False,"Dec 7, 2024","{'OS *': 'Windows 8', 'Processor': 'Requires a 64-bit processor and operating system', 'Memory': '4 GB RAM', 'Graphics': 'GeForce 1050Ti', 'Storage': '1 GB available space'}",{},"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']","['Action', 'Casual', 'Indie']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2159500/header.jpg?t=1738467787
2359910,Dragabox,Free,N/A,N/A,N/A,Deranged Octopus Athletics,Deranged Octopus Athletics,True,False,False,"Aug 2, 2023","{'OS *': 'Windows XP, Vista, 7, or later', 'Processor': '2 Ghz', 'Memory': '2 MB RAM', 'Graphics': '32 MB video memory', 'DirectX': 'Version 9.0', 'Storage': '300 MB available space', 'Sound Card': 'DirectX 9 compatible sound card or integrated sound chip'}","{'OS': 'Windows 10', 'Processor': '3.3 Ghz', 'Memory': '8 MB RAM', 'Graphics': '256 MB video memory', 'DirectX': 'Version 12', 'Storage': '300 MB available space', 'Sound Card': 'DirectX 9 compatible sound card or integrated sound chip'}","['Single-player', 'Steam Achievements', 'Steam Leaderboards']","['Casual', 'Indie']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2359910/header.jpg?t=1690990940
2256100,Leap From Hell,$4.99,N/A,N/A,full,EpiXR Games UG,EpiXR Games UG,True,False,False,"Aug 4, 2023","{'OS': 'Win 10', 'Processor': 'Intel Core i5-4590 (AMD FX 8350) or better', 'Memory': '4 GB RAM', 'Graphics': 'NVIDIA GTX600', 'Storage': '2 GB available space', 'Sound Card': 'No specific requirements.'}","{'OS': 'Win 10', 'Processor': 'i7', 'Memory': '4 GB RAM', 'Graphics': 'NVIDIA GTX700', 'Storage': '2 GB available space', 'Sound Card': 'No specific requirements.'}","['Single-player', 'Steam Achievements', 'Full controller support', 'Family Sharing']","['Action', 'Casual', 'Indie']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2256100/header.jpg?t=1725288211
2283800,Fingerspelling Unleashed - BANZSL Edition,$1.99,N/A,N/A,N/A,CLICKBYTES,CLICKBYTES,True,False,False,"Feb 28, 2023","{'OS *': 'Windows 7/8/10/11 - 64bits', 'Processor': '2 GHz Intel Pentium 4 or AMD Athlon or equivalent', 'Memory': '2 GB RAM', 'Graphics': 'Intel HD Graphique', 'Storage': '150 MB available space', 'Sound Card': 'All'}",{},"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']",['Casual'],https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2283800/header.jpg?t=1702355294
1602750,Rise of the Atman,Free,N/A,N/A,N/A,Sephirsoft Interactive LLC,Sephirsoft Interactive LLC,True,False,False,Coming soon,"{'OS *': 'Windows 7, 8.1, 10 (64-bit Version)', 'Processor': 'Intel i5-750/AMD Phenom II X4-945', 'Memory': '8 GB RAM MB RAM', 'Graphics': 'NVIDIA GTX 470 1GB /AMD HD 7870 2GB', 'DirectX': 'Version 11'}","{'OS *': 'Windows 7, 8.1, 10 (64-bit Version)', 'Processor': 'Intel i5-2400/AMD FX-8320', 'Memory': '16 GB RAM MB RAM', 'Graphics': 'Nvidia GTX 1060 6GB / AMD RX580', 'DirectX': 'Version 11'}","['Single-player', 'Family Sharing']",['RPG'],https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1602750/header.jpg?t=1636187485
746540,Space Panic Defense,$1.99,N/A,N/A,N/A,Xefier Games Inc.,Xefier Games Inc.,True,True,True,"Nov 24, 2017","{'OS *': 'Windows XP SP4 or later', 'Processor': 'Intel i3 2.6Ghz or AMD equivalent', 'Memory': '2 GB RAM', 'Graphics': 'GeForce GTX 460 or AMD equivalent', 'DirectX': 'Version 9.0c', 'Storage': '1500 MB available space'}","{'OS *': 'Windows 7 SP1 or later', 'Processor': 'Intel i5 2.6Ghz or AMD equivalent', 'Memory': '4 GB RAM', 'Graphics': 'GeForce GTX 960 or AMD equivalent', 'DirectX': 'Version 11', 'Network': 'Broadband Internet connection', 'Storage': '1500 MB available space'}","['Single-player', 'In-App Purchases', 'Family Sharing']","['Casual', 'Indie', 'Strategy']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/746540/header.jpg?t=1516600374
3437060,Black Fairy Tale,$1.99,N/A,N/A,N/A,套鹿工作室,寻鹿计划,True,False,False,"Feb 10, 2025","{'OS *': 'Windows 7 or later', 'Processor': 'Intel Core i3-3240 (2 * 3400); AMD FX-4300 (4 * 3800)', 'Memory': '8 GB RAM', 'Graphics': 'GeForce GTX 560 Ti (1024 VRAM); Radeon HD 7750 (1024 VRAM)', 'DirectX': 'Version 11', 'Storage': '512 MB available space'}","{'OS': 'Windows 10', 'Processor': 'Intel Core i5-3470', 'Memory': '32 GB RAM', 'Graphics': 'GeForce GTX 1050 (2048 VRAM); Radeon R9 380 (2048 VRAM)', 'DirectX': 'Version 11', 'Storage': '1 GB available space'}","['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']","['Casual', 'Indie', 'Strategy']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3437060/header.jpg?t=1739237715
2085360,Insomnia: Theater in the Head,$2.49,2350,N/A,N/A,Perfect Day Studio,Perfect Day Studio,True,True,False,"Dec 15, 2022","{'OS *': 'Windows 7,8,10 or later', 'Processor': 'Intel Core i3 2.00 GHz', 'Memory': '2 GB RAM', 'Graphics': 'Intel® HD Graphics 3000', 'Storage': '2 GB available space'}",{},"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']","['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2085360/header.jpg?t=1727086580
1111130,Song of a Spirit,$19.99,N/A,N/A,N/A,Eisenstadt Studio,Eisenstadt Studio,True,False,False,"Jul 13, 2019","{'OS *': 'Windows 7 SP1', 'Processor': 'Core 2 Quad q8300', 'Memory': '8 GB RAM', 'Graphics': 'GTX 750', 'Storage': '300 MB available space'}",{},"['Single-player', 'Family Sharing']","['Adventure', 'Indie']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1111130/header.jpg?t=1697847766
